INTERVIEW_START_W55,ENVIR8_e_W55,EN7_W55,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_PARTYSUM_FINAL
2019-10-03 22:44:00,3.0,2.0,3.0,1.0,1.0,5.0,2.0
2019-10-05 12:09:00,2.0,2.0,4.0,1.0,2.0,3.0,2.0
2019-10-05 14:58:00,2.0,1.0,2.0,2.0,1.0,6.0,2.0
2019-10-04 17:36:00,2.0,1.0,2.0,2.0,1.0,6.0,2.0
2019-10-05 05:08:00,2.0,1.0,4.0,1.0,1.0,5.0,2.0
2019-10-07 19:28:00,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-06 01:18:00,2.0,4.0,3.0,1.0,1.0,5.0,2.0
2019-10-06 02:50:00,2.0,2.0,3.0,2.0,3.0,2.0,2.0
2019-10-06 01:20:59,2.0,1.0,3.0,1.0,2.0,3.0,2.0
2019-10-05 21:52:00,3.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-05 19:09:00,3.0,1.0,4.0,2.0,2.0,3.0,1.0
2019-10-07 16:17:00,2.0,1.0,2.0,2.0,1.0,5.0,2.0
2019-10-05 12:26:00,3.0,1.0,4.0,2.0,3.0,2.0,1.0
2019-10-03 23:48:00,2.0,2.0,3.0,2.0,3.0,2.0,2.0
2019-10-09 17:01:00,2.0,1.0,4.0,2.0,2.0,4.0,2.0
2019-10-05 12:15:00,2.0,1.0,2.0,2.0,1.0,5.0,2.0
2019-10-07 16:56:59,2.0,2.0,3.0,1.0,1.0,5.0,1.0
2019-10-13 18:35:00,2.0,1.0,4.0,2.0,1.0,5.0,2.0
2019-10-05 21:14:00,3.0,3.0,4.0,1.0,2.0,3.0,1.0
2019-10-05 09:07:00,2.0,1.0,3.0,2.0,1.0,5.0,2.0
2019-10-10 04:42:00,3.0,3.0,2.0,2.0,1.0,5.0,1.0
2019-10-03 20:56:00,3.0,2.0,4.0,1.0,1.0,5.0,1.0
2019-10-05 15:03:00,2.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-04 19:56:59,2.0,2.0,3.0,1.0,2.0,3.0,2.0
